role_id,role,file_name,gender,speech_count,total_words,avg_words_per_speech
hor.,THOMAS HORNER,Globe_Shakespeare/2h6.xml,MALE,6,167,27.83333333
ant-14,Dolabella,Globe_Shakespeare/ant.xml,MALE,23,282,12.26086957
cor.,CORIN,Globe_Shakespeare/ayl.xml,MALE,24,550,22.91666667
patr.,PATROCLUS,Globe_Shakespeare/tro.xml,MALE,37,401,10.83783784
lor.,LORENZO,Globe_Shakespeare/mv.xml,MALE,47,1312,27.91489362
caius.,DOCTOR CAIUS,Globe_Shakespeare/wiv.xml,MALE,49,787,16.06122449
agam.,AGAMEMNON,Globe_Shakespeare/tro.xml,MALE,54,1523,28.2037037
cor-13,Junius Brutus,Globe_Shakespeare/cor.xml,MALE,91,1553,17.06593407
ant.-s.,ANTIPHOLUS of Syracuse,Globe_Shakespeare/err.xml,MALE,103,2061,20.00970874
biron.,BIRON,Globe_Shakespeare/lll.xml,MALE,159,4744,29.83647799
aber.,LORD ABERGAVENNY,Globe_Shakespeare/h8.xml,MALE,5,115,23
pri.,PRIAM,Globe_Shakespeare/tro.xml,MALE,6,137,22.83333333
staf.,SIR HUMPHREY STAFFOR,Globe_Shakespeare/2h6.xml,MALE,6,112,18.66666667
hume.,JOHN HUME,Globe_Shakespeare/2h6.xml,MALE,6,243,40.5
cleo.,CLEOMENES,Globe_Shakespeare/wt.xml,MALE,7,132,18.85714286
jc-14,Cinna,Globe_Shakespeare/jc.xml,MALE,8,104,13
whit.,WALTER WHITMORE,Globe_Shakespeare/2h6.xml,MALE,8,151,18.875
gow.,Gower,Globe_Shakespeare/per.xml,MALE,8,2035,254.375
surv.,Surveyor to the Duke of Buckingham,Globe_Shakespeare/h8.xml,MALE,9,437,48.55555556
smith.,SMITH the weaver,Globe_Shakespeare/2h6.xml,MALE,9,124,13.77777778
tgv-1,ANTONIO,Globe_Shakespeare/tgv.xml,MALE,11,258,23.45454545
ami.,AMIENS,Globe_Shakespeare/ayl.xml,MALE,11,209,19
mess.,MESSENGER,Globe_Shakespeare/jn.xml,MALE,11,218,19.81818182
balth.,BALTHASAR,Globe_Shakespeare/ado.xml,MALE,11,181,16.45454545
ver.,VERNON,Globe_Shakespeare/1h6.xml,MALE,12,237,19.75
sec.-fish.,Second Fisherman,Globe_Shakespeare/per.xml,MALE,12,214,17.83333333
sec.-sen.,Second Senator,Globe_Shakespeare/tim.xml,MALE,14,422,30.14285714
le-beau.,LE BEAU,Globe_Shakespeare/ayl.xml,MALE,14,369,26.35714286
hip.,HIPPOLYTA,Globe_Shakespeare/mnd.xml,MALE,14,248,17.71428571
prin.,ESCALUS,Globe_Shakespeare/rom.xml,MALE,16,623,38.9375
bard.,BARDOLPH,Globe_Shakespeare/h5.xml,MALE,16,223,13.9375
lord.,A Lord,Globe_Shakespeare/shr.xml,MALE,17,1038,61.05882353
clif.,LORD CLIFFORD,Globe_Shakespeare/2h6.xml,MALE,17,458,26.94117647
prince.,"EDWARD, Prince of Wales",Globe_Shakespeare/r3.xml,MALE,18,345,19.16666667
cant.,ARCHBISHOP OF CANTERBURY,Globe_Shakespeare/h5.xml,MALE,18,1635,90.83333333
curt.,CURTIS,Globe_Shakespeare/shr.xml,MALE,20,165,8.25
york.,RICHARD,Globe_Shakespeare/r3.xml,MALE,21,327,15.57142857
cran.,CRANMER,Globe_Shakespeare/h8.xml,MALE,21,1032,49.14285714
len.,Lennox,Globe_Shakespeare/mac.xml,MALE,22,496,22.54545455
exe.,DUKE OF EXETER,Globe_Shakespeare/h5.xml,MALE,22,966,43.90909091
duke.,SOLINUS,Globe_Shakespeare/err.xml,MALE,22,689,31.31818182
arth.,"ARTHUR, Duke of Bretagne",Globe_Shakespeare/jn.xml,MALE,23,963,41.86956522
cer.,CERIMON,Globe_Shakespeare/per.xml,MALE,23,716,31.13043478
sil.,SILVIUS,Globe_Shakespeare/ayl.xml,MALE,24,535,22.29166667
mon.,MONTANO,Globe_Shakespeare/oth.xml,MALE,24,411,17.125
gow.,GOWER,Globe_Shakespeare/h5.xml,MALE,27,501,18.55555556
ant-1,Agrippa,Globe_Shakespeare/ant.xml,MALE,28,352,12.57142857
will.,WILLIAMS,Globe_Shakespeare/h5.xml,MALE,28,612,21.85714286
elb.,ELBOW,Globe_Shakespeare/mm.xml,MALE,28,593,21.17857143
york.,RICHARD PLANTAGENET,Globe_Shakespeare/1h6.xml,MALE,29,698,24.06896552
obe.,OBERON,Globe_Shakespeare/mnd.xml,MALE,29,1586,54.68965517
cate.,SIR WILLIAM CATESBY,Globe_Shakespeare/r3.xml,MALE,30,430,14.33333333
duke-s.,DUKE,Globe_Shakespeare/ayl.xml,MALE,32,813,25.40625
clar.,GEORGE,Globe_Shakespeare/r3.xml,MALE,32,1289,40.28125
ban.,Banquo,Globe_Shakespeare/mac.xml,MALE,33,764,23.15151515
clar.,GEORGE,Globe_Shakespeare/3h6.xml,MALE,33,667,20.21212121
first-gent.,First Gentleman,Globe_Shakespeare/h8.xml,MALE,34,686,20.17647059
claud.,CLAUDIO,Globe_Shakespeare/mm.xml,MALE,35,795,22.71428571
sec.-gent.,Second Gentleman,Globe_Shakespeare/h8.xml,MALE,37,558,15.08108108
boult.,Boult,Globe_Shakespeare/per.xml,MALE,38,649,17.07894737
trin.,TRINCULO,Globe_Shakespeare/tmp.xml,MALE,39,804,20.61538462
